group_name,subgroup_name,subsubgroup_name,food_name,kcal,proteins,carbs,carbs_sugar,fats,fats_saturated,fibers,salt,new_name,deleted
entrées et plats composés,soupes,-,"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",4,0.2,0.1,0.0,0.4,0.2,0.0,1.1,"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",False
entrées et plats composés,soupes,-,"Soupe à l'oignon, préemballée à réchauffer",40,1.4,4.9,1.5,1.4,0.6,1.3,0.8,"Soupe à l'oignon, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe aux champignons, préemballée à réchauffer",48,0.8,4.1,0.9,3.1,1.6,0.5,0.8,"Soupe aux champignons, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe à la carotte, préemballée à réchauffer",33,0.6,3.9,1.8,1.4,1.0,1.2,0.6,"Soupe à la carotte, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe à la tomate, préemballée à réchauffer",38,0.7,6.3,3.0,1.0,0.4,0.9,0.6,"Soupe à la tomate, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe chorba frik, à base de viande et de frik",62,3.8,5.4,0.9,2.5,0.0,1.9,0.8,"Soupe chorba frik, à base de viande et de frik",False
entrées et plats composés,soupes,-,"Soupe minestrone, préemballée à réchauffer",48,1.2,5.6,1.7,2.0,0.6,1.8,0.8,"Soupe minestrone, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe au pistou, déshydratée reconstituée",30,1.2,5.2,1.2,0.4,0.0,0.8,0.6,"Soupe au pistou, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe de poissons et / ou crustacés, déshydratée reconstituée",29,0.9,5.1,1.1,0.5,0.1,0.2,0.6,"Soupe de poissons et / ou crustacés, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe asiatique, avec pâtes, déshydratée reconstituée",29,1.0,5.2,1.2,0.4,0.2,0.5,0.8,"Soupe asiatique, avec pâtes, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe marocaine, déshydratée reconstituée",34,1.2,5.8,1.5,0.6,0.2,0.7,0.8,"Soupe marocaine, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe aux poireaux et pommes de terre, déshydratée reconstituée",26,0.6,4.8,0.9,0.4,0.2,0.3,0.7,"Soupe aux poireaux et pommes de terre, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe à la volaille et aux légumes, déshydratée reconstituée",27,1.0,4.6,0.6,0.4,0.2,0.5,0.7,"Soupe à la volaille et aux légumes, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Bouillon de boeuf, déshydraté reconstitué",9,0.6,1.3,0.3,0.2,0.1,0.0,0.7,"Bouillon de boeuf, déshydraté reconstitué",False
entrées et plats composés,soupes,-,"Soupe aux asperges, déshydratée reconstituée",35,0.6,5.1,1.0,1.3,0.7,0.3,0.8,"Soupe aux asperges, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe à la tomate et aux vermicelles, préemballée à réchauffer",37,1.1,5.9,3.4,0.8,0.5,1.3,0.8,"Soupe à la tomate et aux vermicelles, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe aux céréales et aux légumes, déshydratée reconstituée",47,1.4,6.8,1.2,1.4,0.8,1.2,0.8,"Soupe aux céréales et aux légumes, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe à la tomate, déshydratée reconstituée",36,0.8,5.8,2.4,1.0,0.3,0.6,0.7,"Soupe à la tomate, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe aux champignons, déshydratée reconstituée",37,0.6,4.4,0.6,1.8,0.7,0.8,0.8,"Soupe aux champignons, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe à l'oignon, déshydratée reconstituée",24,0.6,4.4,1.3,0.4,0.2,0.3,0.8,"Soupe à l'oignon, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe au potiron, préemballée à réchauffer",35,0.7,4.1,2.4,1.6,0.9,1.3,0.6,"Soupe au potiron, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Bouillon de volaille, déshydraté reconstitué",5,0.6,0.5,0.2,0.1,0.1,0.0,0.8,"Bouillon de volaille, déshydraté reconstitué",False
entrées et plats composés,soupes,-,"Bouillon de légumes, déshydraté reconstitué",5,0.3,0.6,0.2,0.2,0.1,0.0,0.6,"Bouillon de légumes, déshydraté reconstitué",False
entrées et plats composés,soupes,-,"Soupe à la tomate et aux vermicelles, déshydratée reconstituée",21,0.6,4.2,0.7,0.2,0.1,0.3,0.7,"Soupe à la tomate et aux vermicelles, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe à la volaille et aux vermicelles, déshydratée reconstituée",21,0.8,3.9,0.3,0.2,0.1,0.3,0.7,"Soupe à la volaille et aux vermicelles, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe au pistou, préemballée à réchauffer",31,2.0,4.1,0.0,0.5,0.2,1.5,0.6,"Soupe au pistou, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe au potiron, déshydratée reconstituée",38,0.8,5.6,2.6,1.2,0.6,0.8,0.7,"Soupe au potiron, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe asiatique, avec pâtes, préemballée à réchauffer",22,0.7,3.4,0.5,0.5,0.2,0.7,0.9,"Soupe asiatique, avec pâtes, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe minestrone, déshydratée reconstituée",31,1.1,5.5,1.1,0.3,0.0,0.8,0.7,"Soupe minestrone, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe au cresson, déshydratée reconstituée",25,0.4,4.0,0.3,0.8,0.4,0.2,0.8,"Soupe au cresson, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe au cresson, préemballée à réchauffer",34,1.0,5.4,0.9,0.8,0.5,0.6,0.8,"Soupe au cresson, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe aux légumes avec fromage, préemballée à réchauffer",50,1.3,5.1,1.6,2.5,1.6,0.9,0.7,"Soupe aux légumes avec fromage, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe aux légumes verts, préemballée à réchauffer",33,1.0,3.8,0.8,1.3,0.6,1.0,0.7,"Soupe aux légumes verts, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe aux légumes verts, déshydratée reconstituée",34,0.7,5.3,1.1,1.1,0.7,0.5,0.7,"Soupe aux légumes verts, déshydratée reconstituée",False
entrées et plats composés,soupes,-,"Soupe aux pois cassés, préemballée à réchauffer",56,2.7,6.2,1.0,2.0,0.7,1.6,0.7,"Soupe aux pois cassés, préemballée à réchauffer",False
entrées et plats composés,soupes,-,"Soupe froide type Gaspacho ou Gazpacho, préemballée",32,0.6,3.4,2.3,1.6,0.3,1.0,0.8,"Soupe froide type Gaspacho ou Gazpacho, préemballée",False
entrées et plats composés,soupes,-,"Soupe aux asperges, préemballée à réchauffer",133,4.6,4.7,2.9,10.4,5.1,1.0,1.0,"Soupe aux asperges, préemballée à réchauffer",False
entrées et plats composés,soupes,-,Soupe (aliment moyen),37,1.3,4.5,1.6,1.4,0.6,1.0,0.8,Soupe (aliment moyen),False
entrées et plats composés,soupes,-,"Soupe miso, déshydratée reconstituée",17,1.4,2.2,0.7,0.0,0.0,0.0,1.1,"Soupe miso, déshydratée reconstituée",False
entrées et plats composés,plats composés,plats de viande sans garniture,Tripes à la mode de Caen,116,20.4,0.3,0.0,3.7,1.3,0.0,1.1,Tripes à la mode de Caen,False
entrées et plats composés,plats composés,plats de viande sans garniture,"Tripes à la mode de Caen, préemballées",112,18.4,0.7,0.5,3.6,2.1,1.2,1.0,"Tripes à la mode de Caen, préemballées",False
entrées et plats composés,plats composés,plats de viande sans garniture,Tripes à la tomate ou à la provençale,94,15.7,0.6,0.0,3.2,1.6,0.0,1.2,Tripes à la tomate ou à la provençale,False
entrées et plats composés,plats composés,plats de viande sans garniture,Blanquette de veau,113,15.4,3.1,0.3,4.0,2.0,0.8,0.7,Blanquette de veau,False
entrées et plats composés,plats composés,plats de viande sans garniture,Boeuf bourguignon,84,8.9,4.2,1.6,3.3,0.9,1.2,0.9,Boeuf bourguignon,False
entrées et plats composés,plats composés,plats de viande sans garniture,"Canard en sauce (poivre vert, chasseur, etc.), préemballé",145,9.6,10.2,0.0,7.3,0.0,0.0,0.0,"Canard en sauce (poivre vert, chasseur, etc.), préemballé",False
entrées et plats composés,plats composés,plats de viande sans garniture,"Lapin à la moutarde, préemballé",108,14.9,0.5,0.5,5.0,2.1,0.8,1.2,"Lapin à la moutarde, préemballé",False
entrées et plats composés,plats composés,plats de viande sans garniture,Coq au vin,133,13.0,4.0,1.0,7.0,1.0,0.9,1.0,Coq au vin,False
entrées et plats composés,plats composés,plats de viande sans garniture,Paupiette de veau,193,14.5,2.6,0.4,13.8,5.4,0.2,1.3,Paupiette de veau,False
entrées et plats composés,plats composés,plats de viande sans garniture,Paupiette de volaille,164,23.9,8.8,0.0,3.4,0.6,1.2,1.0,Paupiette de volaille,False
entrées et plats composés,plats composés,plats de viande sans garniture,Viande en sauce (aliment moyen),104,11.3,3.6,1.3,4.6,1.8,1.1,0.8,Viande en sauce (aliment moyen),False
entrées et plats composés,plats composés,plats de viande sans garniture,Poulet au curry et au lait de coco,124,10.6,3.2,1.5,6.9,3.0,1.1,1.1,Poulet au curry et au lait de coco,False
entrées et plats composés,plats composés,plats de viande sans garniture,"Meloukhia, plat à base de boeuf et corete, fait maison",189,10.6,1.2,1.2,14.7,0.0,4.7,0.9,"Meloukhia, plat à base de boeuf et corete, fait maison",False
entrées et plats composés,plats composés,plats de viande sans garniture,"Palette à la diable, préemballée",120,13.5,2.1,1.4,6.1,2.2,1.4,2.2,"Palette à la diable, préemballée",False
entrées et plats composés,plats composés,plats de viande sans garniture,"Langue de boeuf sauce madère, préemballée",180,9.5,4.5,2.5,13.5,6.0,1.0,1.1,"Langue de boeuf sauce madère, préemballée",False
entrées et plats composés,plats composés,plats de viande sans garniture,"Porc au caramel, préemballé",136,10.0,11.4,7.9,5.4,1.4,0.7,1.3,"Porc au caramel, préemballé",False
entrées et plats composés,plats composés,plats de viande sans garniture,"Boulettes au boeuf, à la sauce tomate, préemballées",117,9.0,5.5,0.0,6.5,0.0,0.0,0.0,"Boulettes au boeuf, à la sauce tomate, préemballées",False
entrées et plats composés,plats composés,plats de viande sans garniture,"Paupiette de veau, préemballée,  cuite au four",276,22.0,0.5,0.3,20.5,8.2,0.9,1.1,"Paupiette de veau, préemballée,  cuite au four",False
entrées et plats composés,plats composés,plats de viande sans garniture,"Carpaccio de boeuf, avec marinade",271,15.2,0.6,0.5,23.0,7.4,0.4,1.1,"Carpaccio de boeuf, avec marinade",False
entrées et plats composés,plats composés,plats de viande sans garniture,Yakitori (brochettes japonaises grillées en sauce),172,26.0,9.3,6.6,3.3,1.2,0.6,1.2,Yakitori (brochettes japonaises grillées en sauce),False
entrées et plats composés,plats composés,plats de viande sans garniture,"Brochette de boeuf, cuite",139,21.9,0.3,0.0,5.2,1.8,0.0,0.9,"Brochette de boeuf, cuite",False
entrées et plats composés,plats composés,plats de viande sans garniture,"Brochette de volaille, cuite",137,23.1,1.4,0.0,4.0,1.0,0.0,0.8,"Brochette de volaille, cuite",False
entrées et plats composés,plats composés,plats de viande et féculents,"Hachis parmentier à la viande, préemballé",138,6.0,9.4,1.5,8.2,4.7,1.4,0.8,"Hachis parmentier à la viande, préemballé",False
entrées et plats composés,plats composés,plats de viande et féculents,Couscous au mouton,149,8.3,12.2,1.4,7.2,0.0,1.3,0.8,Couscous au mouton,False
entrées et plats composés,plats composés,plats de viande et féculents,"Couscous à la viande ou au poulet, préemballé, allégé",90,5.9,11.5,2.1,1.9,0.4,2.0,0.7,"Couscous à la viande ou au poulet, préemballé, allégé",False
entrées et plats composés,plats composés,plats de viande et féculents,"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée",168,3.2,16.2,1.7,9.6,2.9,2.1,0.6,"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée",False
entrées et plats composés,plats composés,plats de viande et féculents,"Couscous royal (avec plusieurs viandes), préemballé",132,7.7,14.0,1.6,4.5,1.5,2.1,0.9,"Couscous royal (avec plusieurs viandes), préemballé",False
entrées et plats composés,plats composés,plats de viande et féculents,Couscous au poulet,130,7.5,15.6,2.9,3.8,1.2,1.5,0.8,Couscous au poulet,False
entrées et plats composés,plats composés,plats de viande et féculents,"Couscous à la viande, préemballé",128,7.6,12.5,2.0,4.7,1.2,2.5,0.8,"Couscous à la viande, préemballé",False
entrées et plats composés,plats composés,plats de viande et féculents,"Parmentier de canard, préemballé",146,6.8,8.5,2.0,9.1,4.5,1.6,0.8,"Parmentier de canard, préemballé",False
entrées et plats composés,plats composés,plats de viande et féculents,"Parmentier de canard, préemballé, cuit",168,7.0,10.5,1.7,10.2,4.7,1.2,0.7,"Parmentier de canard, préemballé, cuit",False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,"Cassoulet, appertisé",129,8.1,9.4,1.1,5.8,2.1,3.6,1.0,"Cassoulet, appertisé",False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,"Choucroute garnie, préemballée",109,5.1,2.8,0.7,8.1,3.2,2.7,1.4,"Choucroute garnie, préemballée",False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,"Petit salé ou saucisse aux lentilles, préemballé",118,8.2,8.9,1.5,4.9,1.9,2.8,1.0,"Petit salé ou saucisse aux lentilles, préemballé",False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,"Pot-au-feu, préemballé",77,10.9,3.2,1.5,2.0,0.8,1.5,0.3,"Pot-au-feu, préemballé",False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Boeuf aux carottes,96,13.2,3.3,0.6,3.2,1.2,1.1,0.6,Boeuf aux carottes,False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Potée auvergnate (chou et porc),82,6.0,3.7,0.9,4.3,1.6,2.3,0.8,Potée auvergnate (chou et porc),False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,"Cassoulet au porc, appertisé",132,8.3,8.6,1.8,6.3,2.2,4.0,1.1,"Cassoulet au porc, appertisé",False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,"Cassoulet au canard ou oie, appertisé",161,10.5,10.1,1.1,7.9,2.4,3.9,1.0,"Cassoulet au canard ou oie, appertisé",False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Tomate farcie,122,5.5,2.0,0.9,9.7,3.2,2.3,0.7,Tomate farcie,False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,"Chou farci, préemballé",94,5.3,2.0,2.0,6.6,0.0,3.1,0.9,"Chou farci, préemballé",False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,"Chili con carne, préemballé",118,7.1,13.0,2.6,3.4,1.1,3.6,0.9,"Chili con carne, préemballé",False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Moussaka,147,5.8,5.2,3.0,10.8,3.4,2.8,1.0,Moussaka,False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Navarin d'agneau aux légumes,133,8.0,5.0,0.9,8.6,1.4,1.6,0.6,Navarin d'agneau aux légumes,False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Tajine de mouton,132,12.8,4.5,2.4,6.8,2.7,0.0,1.0,Tajine de mouton,False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Osso buco,96,11.2,3.5,1.1,4.1,0.8,0.6,1.5,Osso buco,False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,"Poulet basquaise, préemballé",107,9.3,2.5,2.0,6.4,1.7,1.3,0.9,"Poulet basquaise, préemballé",False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,"Tajine de poulet, préemballé",127,7.5,14.4,6.8,3.7,0.4,3.0,1.2,"Tajine de poulet, préemballé",False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,"Chop suey (porc ou poulet), préemballé",78,5.0,7.8,0.0,3.0,0.0,0.0,0.0,"Chop suey (porc ou poulet), préemballé",False
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Légumes farcis (sauf tomate),69,6.4,3.6,2.6,3.0,0.5,1.4,0.7,Légumes farcis (sauf tomate),False
entrées et plats composés,plats composés,plats de poisson sans garniture,Moules marinières (oignons et vin blanc),92,10.3,7.4,1.0,2.2,1.0,0.5,0.7,Moules marinières (oignons et vin blanc),False
entrées et plats composés,plats composés,plats de poisson sans garniture,"Moules farcies (matière grasse, persillade…), préemballées, crues",284,9.6,4.4,0.3,24.8,16.6,1.3,1.1,"Moules farcies (matière grasse, persillade…), préemballées, crues",False
entrées et plats composés,plats composés,plats de poisson sans garniture,"Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru",105,6.1,8.4,2.5,5.1,3.2,0.5,0.8,"Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru",False
entrées et plats composés,plats composés,plats de poisson sans garniture,"Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit",117,6.7,5.3,1.6,7.5,4.8,0.7,0.9,"Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit",False
entrées et plats composés,plats composés,plats de poisson sans garniture,"Saumon à l'oseille, préemballé",133,8.4,7.4,0.6,7.6,3.2,0.7,0.7,"Saumon à l'oseille, préemballé",False
entrées et plats composés,plats composés,plats de poisson sans garniture,"Poisson blanc à la bordelaise, préemballé",176,14.8,5.3,1.1,10.4,2.3,1.0,1.3,"Poisson blanc à la bordelaise, préemballé",False
entrées et plats composés,plats composés,plats de poisson sans garniture,"Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé",75,9.3,3.1,2.0,2.3,0.4,2.4,0.7,"Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé",False
entrées et plats composés,plats composés,plats de poisson sans garniture,"Poisson blanc à la florentine (sauce aux épinards), préemballé",100,11.4,2.9,2.0,4.4,2.8,2.0,0.6,"Poisson blanc à la florentine (sauce aux épinards), préemballé",False
entrées et plats composés,plats composés,plats de poisson sans garniture,"Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé",80,11.5,2.2,0.0,2.8,0.0,0.0,0.0,"Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé",False
entrées et plats composés,plats composés,plats de poisson sans garniture,"Poisson blanc à la sauce moutarde, préemballé",90,9.2,5.4,0.0,3.6,0.0,0.0,0.0,"Poisson blanc à la sauce moutarde, préemballé",False
entrées et plats composés,plats composés,plats de poisson sans garniture,"Poisson blanc à la parisienne (sauce aux champignons), préemballé",79,9.2,3.0,0.9,3.2,1.6,1.0,0.6,"Poisson blanc à la parisienne (sauce aux champignons), préemballé",False
entrées et plats composés,plats composés,plats de poisson sans garniture,"Poisson blanc à l'estragon, préemballé",77,8.8,4.2,0.0,2.8,0.0,0.0,0.0,"Poisson blanc à l'estragon, préemballé",False
entrées et plats composés,plats composés,plats de poisson sans garniture,"Poisson blanc sauce oseille, préemballé",114,11.8,3.9,1.6,5.5,3.3,1.0,0.9,"Poisson blanc sauce oseille, préemballé",False
entrées et plats composés,plats composés,plats de poisson sans garniture,"Saumon farci, préemballé",227,18.8,0.4,0.4,16.2,3.8,2.4,0.6,"Saumon farci, préemballé",False
entrées et plats composés,plats composés,plats de poisson sans garniture,Brochette de poisson,127,18.0,0.9,0.8,5.7,1.0,0.3,0.6,Brochette de poisson,False
entrées et plats composés,plats composés,plats de poisson sans garniture,Brochette de crevettes,93,18.5,1.5,0.0,1.5,0.1,0.0,0.4,Brochette de crevettes,False
entrées et plats composés,plats composés,plats de poisson sans garniture,"Poisson en sauce, surgelé",132,13.3,3.2,1.3,7.0,2.8,1.2,0.8,"Poisson en sauce, surgelé",False
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson cuit (aliment moyen),144,23.5,0.0,0.0,5.5,1.2,0.0,0.5,Poisson cuit (aliment moyen),False
entrées et plats composés,plats composés,plats de poisson sans garniture,"Poisson blanc, cuit (aliment moyen)",107,22.0,0.0,0.0,2.2,0.4,0.0,0.9,"Poisson blanc, cuit (aliment moyen)",False
entrées et plats composés,plats composés,plats de poisson sans garniture,"Poisson blanc, de mer, cuit (aliment moyen)",106,22.1,0.0,0.0,2.0,0.4,0.0,1.0,"Poisson blanc, de mer, cuit (aliment moyen)",False
entrées et plats composés,plats composés,plats de poisson et féculents,Paëlla,148,7.9,17.1,1.2,4.9,1.3,1.8,0.9,Paëlla,False
entrées et plats composés,plats composés,plats de poisson et féculents,Couscous au poisson,105,7.5,14.2,1.7,1.6,0.2,1.7,0.8,Couscous au poisson,False
entrées et plats composés,plats composés,plats de poisson et féculents,"Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé",117,6.4,8.6,1.6,6.2,3.7,1.1,0.8,"Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé",False
entrées et plats composés,plats composés,plats de poisson et féculents,Sushi ou Maki aux produits de la mer,171,6.7,26.9,4.9,3.7,0.6,0.9,0.6,Sushi ou Maki aux produits de la mer,False
entrées et plats composés,plats composés,plats de légumes/légumineuses,Terrine ou mousse de légumes,124,4.0,5.6,1.8,9.6,3.4,2.6,1.3,Terrine ou mousse de légumes,False
entrées et plats composés,plats composés,plats de légumes/légumineuses,Flan de légumes,205,5.4,4.1,2.1,18.6,10.8,2.3,0.9,Flan de légumes,False
entrées et plats composés,plats composés,plats de légumes/légumineuses,"Haricots blancs à la sauce tomate, appertisés",62,4.7,10.1,1.6,0.4,0.2,5.5,0.9,"Haricots blancs à la sauce tomate, appertisés",False
entrées et plats composés,plats composés,plats de légumes/légumineuses,"Piperade basquaise, préemballée",64,1.1,6.5,4.9,3.8,2.0,3.4,0.8,"Piperade basquaise, préemballée",False
